station,date,SO_2,CO,NO,NO_2,PM10,NOx,O_3,TOL,BEN,EBE,TCH,CH4,NMHC
28079004,2002-01-01,21.0,1.2,108.0,64.0,,230.0,,,,,,,
28079011,2002-01-01,,,37.0,45.0,,102.0,,,,,,,
28079016,2002-01-01,,0.7,26.0,35.0,,74.0,18.0,,,,,,
28079017,2002-01-01,8.0,,104.0,29.0,,188.0,11.0,,,,,,
28079018,2002-01-01,10.0,1.0,57.0,56.0,16.0,144.0,10.0,,,,,,
28079024,2002-01-01,6.0,0.7,22.0,40.0,14.0,74.0,11.0,5.9,1.8,1.4,1.34,1.23,0.11
28079035,2002-01-01,31.0,0.7,41.0,50.0,,113.0,9.0,,,,,,
28079036,2002-01-01,40.0,1.1,46.0,45.0,19.0,116.0,,,,,,,
28079038,2002-01-01,29.0,,39.0,42.0,14.0,102.0,,,,,,,
28079039,2002-01-01,,0.6,25.0,49.0,,87.0,14.0,,,,,,
28079040,2002-01-01,8.0,,25.0,38.0,15.0,76.0,,,,,,,
28079004,2002-01-02,14.0,0.7,50.0,78.0,,156.0,,,,,,,
28079011,2002-01-02,,,49.0,60.0,,136.0,,,,,,,
28079016,2002-01-02,,0.6,19.0,51.0,,79.0,22.0,,,,,,
28079017,2002-01-02,4.0,,12.0,31.0,,49.0,20.0,,,,,,
28079018,2002-01-02,4.0,0.6,19.0,62.0,11.0,92.0,13.0,,,,,,
28079024,2002-01-02,4.0,0.6,13.0,54.0,9.0,73.0,16.0,5.6,1.4,1.1,1.31,1.21,0.11
28079035,2002-01-02,20.0,0.6,49.0,62.0,,138.0,13.0,,,,,,
28079036,2002-01-02,36.0,1.0,49.0,55.0,14.0,130.0,,,,,,,
28079038,2002-01-02,19.0,,38.0,51.0,9.0,110.0,,,,,,,
28079039,2002-01-02,,0.8,37.0,61.0,,117.0,20.0,,,,,,
28079040,2002-01-02,5.0,,21.0,48.0,8.0,80.0,,,,,,,
28079004,2002-01-03,12.0,0.7,48.0,71.0,,145.0,,,,,,,
28079011,2002-01-03,,,88.0,68.0,,203.0,,,,,,,
28079016,2002-01-03,,0.9,55.0,60.0,,144.0,10.0,,,,,,
28079017,2002-01-03,3.0,,16.0,34.0,,58.0,13.0,,,,,,
28079018,2002-01-03,4.0,0.6,24.0,63.0,15.0,100.0,9.0,,,,,,
28079024,2002-01-03,4.0,0.5,12.0,41.0,12.0,59.0,18.0,4.9,1.2,1.1,1.32,1.23,0.09
28079035,2002-01-03,18.0,0.6,44.0,61.0,,128.0,10.0,,,,,,
28079036,2002-01-03,22.0,0.9,51.0,62.0,16.0,140.0,,,,,,,
28079038,2002-01-03,15.0,,54.0,50.0,11.0,133.0,,,,,,,
28079039,2002-01-03,,1.0,69.0,69.0,,174.0,9.0,,,,,,
28079040,2002-01-03,6.0,,34.0,57.0,12.0,109.0,,,,,,,
28079004,2002-01-04,23.0,1.1,114.0,66.0,,242.0,,,,,,,
28079011,2002-01-04,,,57.0,57.0,,145.0,,,,,,,
28079016,2002-01-04,,0.8,50.0,54.0,,130.0,11.0,,,,,,
28079017,2002-01-04,7.0,,67.0,37.0,,140.0,8.0,,,,,,
28079018,2002-01-04,11.0,0.9,56.0,69.0,30.0,155.0,6.0,,,,,,
28079024,2002-01-04,4.0,0.7,34.0,52.0,22.0,104.0,8.0,8.1,1.9,1.7,1.34,1.2,0.14
28079035,2002-01-04,37.0,1.2,98.0,67.0,,217.0,7.0,,,,,,
28079036,2002-01-04,39.0,1.1,67.0,59.0,25.0,162.0,,,,,,,
28079038,2002-01-04,30.0,,93.0,49.0,23.0,192.0,,,,,,,
28079039,2002-01-04,,0.8,49.0,57.0,,133.0,12.0,,,,,,
28079040,2002-01-04,10.0,,48.0,60.0,21.0,134.0,,,,,,,
28079004,2002-01-05,17.0,0.7,36.0,77.0,,132.0,,,,,,,
28079011,2002-01-05,,,21.0,48.0,,81.0,,,,,,,
28079016,2002-01-05,,0.5,11.0,44.0,,61.0,26.0,,,,,,
28079017,2002-01-05,5.0,,13.0,37.0,,57.0,17.0,,,,,,
28079018,2002-01-05,9.0,0.6,12.0,59.0,15.0,77.0,14.0,,,,,,
28079024,2002-01-05,4.0,0.6,4.0,46.0,9.0,53.0,19.0,4.8,1.3,1.0,1.28,1.18,0.1
28079035,2002-01-05,30.0,0.7,37.0,61.0,,118.0,12.0,,,,,,
28079036,2002-01-05,44.0,0.9,32.0,53.0,14.0,101.0,,,,,,,
28079038,2002-01-05,24.0,,32.0,48.0,8.0,96.0,,,,,,,
28079039,2002-01-05,,0.6,16.0,55.0,,80.0,22.0,,,,,,
28079040,2002-01-05,7.0,,18.0,52.0,10.0,79.0,,,,,,,
28079004,2002-01-06,11.0,0.6,26.0,76.0,,116.0,,,,,,,
28079011,2002-01-06,,,27.0,50.0,,91.0,,,,,,,
28079016,2002-01-06,,0.6,22.0,49.0,,82.0,32.0,,,,,,
28079017,2002-01-06,3.0,,9.0,29.0,,43.0,29.0,,,,,,
28079018,2002-01-06,6.0,0.5,11.0,52.0,9.0,69.0,22.0,,,,,,
28079024,2002-01-06,4.0,0.5,3.0,40.0,7.0,45.0,29.0,,,,1.27,1.17,0.1
28079035,2002-01-06,23.0,0.5,25.0,53.0,,91.0,22.0,,,,,,
28079036,2002-01-06,45.0,0.9,33.0,45.0,11.0,95.0,,,,,,,
28079038,2002-01-06,20.0,,23.0,43.0,5.0,78.0,,,,,,,
28079039,2002-01-06,,0.6,13.0,47.0,,67.0,37.0,,,,,,
28079040,2002-01-06,5.0,,10.0,39.0,6.0,54.0,,,,,,,
28079004,2002-01-07,14.0,1.1,119.0,68.0,,251.0,,,,,,,
28079011,2002-01-07,,,54.0,66.0,,149.0,,,,,,,
28079016,2002-01-07,,1.0,63.0,72.0,,168.0,20.0,,,,,,
28079017,2002-01-07,6.0,,85.0,37.0,,167.0,17.0,,,,,,
28079018,2002-01-07,9.0,1.0,74.0,72.0,24.0,185.0,13.0,,,,,,
28079024,2002-01-07,4.0,0.7,27.0,54.0,20.0,96.0,16.0,,,,1.31,1.17,0.14
28079035,2002-01-07,26.0,0.9,59.0,63.0,,153.0,18.0,,,,,,
28079036,2002-01-07,28.0,1.1,78.0,60.0,21.0,179.0,,,,,,,
28079038,2002-01-07,22.0,,57.0,49.0,13.0,136.0,,,,,,,
28079039,2002-01-07,,1.1,80.0,63.0,,186.0,24.0,,,,,,
28079040,2002-01-07,7.0,,30.0,54.0,13.0,100.0,,,,,,,
28079004,2002-01-08,22.0,0.9,76.0,80.0,,196.0,,,,,,,
28079011,2002-01-08,,,42.0,69.0,,134.0,,,,,,,
28079016,2002-01-08,,0.6,33.0,72.0,,122.0,12.0,,,,,,
28079017,2002-01-08,6.0,,59.0,51.0,,143.0,7.0,,,,,,
28079018,2002-01-08,13.0,0.8,49.0,90.0,37.0,165.0,5.0,,,,,,
28079024,2002-01-08,7.0,0.7,25.0,69.0,27.0,107.0,10.0,,,,1.32,1.18,0.14
28079035,2002-01-08,32.0,0.8,65.0,77.0,,176.0,10.0,,,,,,
28079036,2002-01-08,41.0,1.0,55.0,68.0,31.0,152.0,,,,,,,
28079038,2002-01-08,28.0,,89.0,61.0,28.0,198.0,,,,,,,
28079039,2002-01-08,,0.8,50.0,74.0,,151.0,11.0,,,,,,
28079040,2002-01-08,9.0,,40.0,67.0,27.0,128.0,,,,,,,
28079004,2002-01-09,22.0,0.9,74.0,85.0,,199.0,,,,,,,
28079011,2002-01-09,,,46.0,66.0,,137.0,,,,,,,
28079016,2002-01-09,,0.6,43.0,68.0,,133.0,21.0,,,,,,
28079017,2002-01-09,6.0,,65.0,55.0,,155.0,14.0,,,,,,
28079018,2002-01-09,14.0,0.9,62.0,80.0,35.0,174.0,15.0,,,,,,
28079024,2002-01-09,5.0,0.7,31.0,65.0,24.0,113.0,20.0,6.6,1.7,1.3,1.29,1.16,0.13
28079035,2002-01-09,32.0,0.7,55.0,74.0,,158.0,16.0,,,,,,
28079036,2002-01-09,33.0,1.1,82.0,72.0,31.0,197.0,,,,,,,
28079038,2002-01-09,26.0,,90.0,57.0,27.0,195.0,,,,,,,
28079039,2002-01-09,,0.8,42.0,70.0,,134.0,22.0,,,,,,
28079040,2002-01-09,9.0,,45.0,66.0,24.0,135.0,,,,,,,
28079004,2002-01-10,18.0,1.1,121.0,87.0,,273.0,,,,,,,
28079011,2002-01-10,,,115.0,86.0,,263.0,,,,,,,
28079016,2002-01-10,,1.0,88.0,91.0,,226.0,14.0,,,,,,
28079017,2002-01-10,10.0,,155.0,53.0,,291.0,12.0,,,,,,
28079018,2002-01-10,9.0,0.8,58.0,84.0,37.0,173.0,14.0,,,,,,
28079024,2002-01-10,4.0,0.7,35.0,71.0,27.0,125.0,17.0,9.1,1.9,1.9,1.36,1.22,0.14
28079035,2002-01-10,27.0,0.8,71.0,74.0,,182.0,17.0,,,,,,
28079036,2002-01-10,31.0,1.3,109.0,79.0,39.0,245.0,,,,,,,
28079038,2002-01-10,24.0,,100.0,59.0,31.0,212.0,,,,,,,
28079039,2002-01-10,,1.1,91.0,78.0,,218.0,19.0,,,,,,
28079040,2002-01-10,10.0,,76.0,78.0,33.0,194.0,,,,,,,
28079004,2002-01-11,27.0,1.9,270.0,76.0,,491.0,,,,,,,
28079011,2002-01-11,,,238.0,100.0,,464.0,,,,,,,
28079016,2002-01-11,,1.3,141.0,91.0,,308.0,7.0,,,,,,
28079017,2002-01-11,14.0,,266.0,52.0,,460.0,5.0,,,,,,
28079018,2002-01-11,13.0,1.6,183.0,104.0,71.0,384.0,3.0,,,,,,
28079024,2002-01-11,6.0,1.1,117.0,90.0,46.0,270.0,5.0,22.9,3.9,4.6,1.55,1.29,0.27
28079035,2002-01-11,43.0,1.5,183.0,90.0,,370.0,6.0,,,,,,
28079036,2002-01-11,29.0,2.0,223.0,84.0,66.0,425.0,,,,,,,
28079038,2002-01-11,37.0,,197.0,63.0,57.0,366.0,,,,,,,
28079039,2002-01-11,,1.7,198.0,90.0,,394.0,8.0,,,,,,
28079040,2002-01-11,17.0,,163.0,87.0,53.0,337.0,,,,,,,
28079004,2002-01-12,28.0,1.6,206.0,73.0,,389.0,,,,,,,
28079011,2002-01-12,,,120.0,79.0,,264.0,,,,,,,
28079016,2002-01-12,,1.1,92.0,70.0,,211.0,8.0,,,,,,
28079017,2002-01-12,12.0,,250.0,50.0,,434.0,6.0,,,,,,
28079018,2002-01-12,13.0,1.5,146.0,94.0,60.0,317.0,4.0,,,,,,
28079024,2002-01-12,6.0,1.1,89.0,77.0,47.0,214.0,8.0,18.1,3.9,3.6,1.52,1.29,0.22
28079035,2002-01-12,49.0,1.8,189.0,85.0,,375.0,6.0,,,,,,
28079036,2002-01-12,20.0,1.2,100.0,66.0,39.0,219.0,,,,,,,
28079038,2002-01-12,36.0,,142.0,59.0,44.0,277.0,,,,,,,
28079039,2002-01-12,,1.3,122.0,78.0,,266.0,8.0,,,,,,
28079040,2002-01-12,12.0,,78.0,68.0,35.0,188.0,,,,,,,
28079004,2002-01-13,16.0,1.1,123.0,64.0,,253.0,,,,,,,
28079011,2002-01-13,,,156.0,72.0,,311.0,,,,,,,
28079016,2002-01-13,,1.3,117.0,59.0,,239.0,5.0,,,,,,
28079017,2002-01-13,5.0,,40.0,33.0,,94.0,5.0,,,,,,
28079018,2002-01-13,7.0,0.9,63.0,69.0,41.0,165.0,3.0,,,,,,
