date,station,SO_2,CO,NO,NO_2,PM25,PM10,NOx,O_3,TOL,BEN,EBE,TCH,CH4,NMHC
2018-01-01,28079004,1.0,0.3,2.0,21.0,,,24.0,,,,,,,
2018-01-01,28079008,3.0,0.3,13.0,47.0,5.0,9.0,66.0,38.0,0.7,0.5,0.1,1.41,1.39,0.03
2018-01-01,28079011,,,3.0,24.0,,,29.0,,0.2,0.2,0.1,,,
2018-01-01,28079016,,0.3,3.0,31.0,,,36.0,46.0,,,,,,
2018-01-01,28079017,3.0,,3.0,22.0,,,26.0,47.0,,,,,,
2018-01-01,28079018,6.0,0.3,6.0,24.0,,23.0,33.0,51.0,0.5,0.5,0.1,,,
2018-01-01,28079024,3.0,0.2,1.0,6.0,5.0,11.0,8.0,64.0,0.2,0.3,0.1,1.15,1.12,0.03
2018-01-01,28079027,,,4.0,27.0,,,33.0,47.0,,,,,,
2018-01-01,28079035,6.0,0.4,3.0,26.0,,,31.0,29.0,,,,,,
2018-01-01,28079036,8.0,0.2,5.0,29.0,,16.0,36.0,,,,,,,
2018-01-01,28079038,4.0,,5.0,20.0,3.0,6.0,27.0,,0.4,0.3,0.2,,,
2018-01-01,28079039,,0.3,5.0,25.0,,,33.0,51.0,,,,,,
2018-01-01,28079040,2.0,,4.0,26.0,,17.0,32.0,,,,,,,
2018-01-01,28079047,,,2.0,24.0,6.0,16.0,28.0,,,,,,,
2018-01-01,28079048,,,3.0,30.0,3.0,7.0,36.0,,,,,,,
2018-01-01,28079049,,,1.0,21.0,,,23.0,48.0,,,,,,
2018-01-01,28079050,,,10.0,23.0,4.0,5.0,39.0,,,,,,,
2018-01-01,28079054,,,2.0,15.0,,,17.0,53.0,,,,,,
2018-01-01,28079055,,,3.0,28.0,,13.0,33.0,,0.9,0.5,0.1,1.22,1.17,0.05
2018-01-01,28079056,,0.2,15.0,30.0,,,54.0,49.0,,,,,,
2018-01-01,28079057,3.0,0.3,2.0,17.0,,13.0,20.0,,,,,,,
2018-01-01,28079058,,,1.0,5.0,,,7.0,68.0,,,,,,
2018-01-01,28079059,,,2.0,18.0,,,22.0,56.0,,,,,,
2018-01-01,28079060,,,2.0,16.0,,16.0,19.0,61.0,,,,,,
2018-01-02,28079004,1.0,0.3,6.0,29.0,,,38.0,,,,,,,
2018-01-02,28079008,3.0,0.4,27.0,54.0,6.0,10.0,96.0,33.0,1.7,0.8,0.3,1.43,1.39,0.04
2018-01-02,28079011,,,9.0,35.0,,,49.0,,0.8,0.3,0.1,,,
2018-01-02,28079016,,0.3,10.0,39.0,,,55.0,40.0,,,,,,
2018-01-02,28079017,3.0,,11.0,36.0,,,53.0,35.0,,,,,,
2018-01-02,28079018,6.0,0.3,7.0,32.0,,7.0,44.0,42.0,1.0,0.3,0.1,,,
2018-01-02,28079024,,0.2,2.0,11.0,5.0,10.0,13.0,58.0,0.4,0.3,0.1,1.14,1.12,0.02
2018-01-02,28079027,,,11.0,37.0,,,55.0,40.0,,,,,,
2018-01-02,28079035,6.0,0.6,5.0,32.0,,,40.0,25.0,,,,,,
2018-01-02,28079036,9.0,0.3,13.0,40.0,,16.0,59.0,,,,,,,
2018-01-02,28079038,4.0,,9.0,28.0,4.0,7.0,42.0,,0.8,0.4,0.3,,,
