station,date,SO_2,CO,NO,NO_2,PM25,PM10,NOx,O_3,TOL,BEN,EBE,TCH,CH4,NMHC
28079004,2020-01-01,9.0,0.7,80.0,58.0,,,181.0,,,,,,,
28079008,2020-01-01,8.0,0.7,60.0,65.0,29.0,37.0,158.0,5.0,3.2,1.6,1.1,2.1,1.96,0.14
28079011,2020-01-01,,,71.0,78.0,,,186.0,,2.8,1.4,0.4,,,
28079016,2020-01-01,,0.6,43.0,52.0,,,118.0,9.0,,,,,,
28079017,2020-01-01,8.0,,176.0,67.0,,,337.0,5.0,,,,,,
28079018,2020-01-01,9.0,0.9,80.0,57.0,,49.0,180.0,6.0,4.4,1.7,0.7,,,
28079024,2020-01-01,6.0,0.5,52.0,46.0,34.0,41.0,126.0,5.0,4.4,1.7,0.3,1.46,1.35,0.11
28079027,2020-01-01,,,55.0,63.0,,,147.0,7.0,,,,,,
28079035,2020-01-01,13.0,0.9,80.0,59.0,,,182.0,8.0,,,,,,
28079036,2020-01-01,9.0,0.6,62.0,63.0,,39.0,158.0,,,,,,,
28079038,2020-01-01,20.0,,85.0,76.0,37.0,40.0,206.0,,2.8,0.9,2.2,,,
28079039,2020-01-01,,0.9,120.0,73.0,,,258.0,4.0,,,,,,
28079040,2020-01-01,12.0,,61.0,67.0,,17.0,160.0,,,,,,,
28079047,2020-01-01,,,75.0,57.0,28.0,33.0,172.0,,,,,,,
28079048,2020-01-01,,,50.0,64.0,34.0,40.0,141.0,,,,,,,
28079049,2020-01-01,,,49.0,49.0,,,124.0,3.0,,,,,,
28079050,2020-01-01,,,58.0,64.0,23.0,30.0,153.0,,,,,,,
28079054,2020-01-01,,,76.0,68.0,,,184.0,8.0,,,,,,
28079055,2020-01-01,,,65.0,61.0,,33.0,161.0,,3.2,1.4,0.7,1.73,1.56,0.17
28079056,2020-01-01,,0.8,103.0,66.0,38.0,44.0,224.0,7.0,,,,,,
28079057,2020-01-01,7.0,0.4,52.0,58.0,,34.0,137.0,,,,,,,
28079058,2020-01-01,,,25.0,33.0,,,72.0,,,,,,,
28079059,2020-01-01,,,19.0,37.0,,,66.0,11.0,,,,,,
28079060,2020-01-01,,,51.0,75.0,,24.0,153.0,6.0,,,,,,
28079004,2020-01-02,10.0,0.7,116.0,70.0,,,247.0,,,,,,,
28079008,2020-01-02,8.0,0.6,65.0,67.0,19.0,30.0,167.0,4.0,3.9,1.4,1.2,1.74,1.63,0.12
28079011,2020-01-02,,,97.0,84.0,,,233.0,,4.7,1.4,0.5,,,
28079016,2020-01-02,,0.5,56.0,58.0,,,144.0,6.0,,,,,,
28079017,2020-01-02,9.0,,187.0,71.0,,,358.0,5.0,,,,,,
28079018,2020-01-02,8.0,0.9,100.0,64.0,,42.0,217.0,5.0,6.4,1.6,1.0,,,
28079024,2020-01-02,7.0,0.5,57.0,49.0,28.0,36.0,137.0,5.0,5.2,1.4,0.4,1.44,1.34,0.1
28079027,2020-01-02,,,80.0,72.0,,,194.0,7.0,,,,,,
28079035,2020-01-02,13.0,0.8,91.0,64.0,,,204.0,8.0,,,,,,
28079036,2020-01-02,9.0,0.5,83.0,70.0,,32.0,197.0,,,,,,,
28079038,2020-01-02,20.0,,81.0,74.0,27.0,32.0,198.0,,4.3,0.9,2.3,,,
28079039,2020-01-02,,0.9,115.0,75.0,,,251.0,3.0,,,,,,
28079040,2020-01-02,9.0,,69.0,69.0,,21.0,175.0,,,,,,,
28079047,2020-01-02,,,97.0,63.0,23.0,30.0,212.0,,,,,,,
28079048,2020-01-02,,,50.0,62.0,24.0,31.0,139.0,,,,,,,
28079049,2020-01-02,,,50.0,52.0,,,129.0,3.0,,,,,,
28079050,2020-01-02,,,61.0,64.0,13.0,24.0,158.0,,,,,,,
