date,station,altitude,average_temperature,rainfall,minimum_temperature,maximum_temperature,wind_direction,average_wind_speed,maximum_wind_speed,maximum_ultraviolet_index,maximum_pressure,minimum_pressure
2003-01-01,2462,1894,3.3,1.7,-0.7,7.3,29.0,6.4,16.1,0.1,816.1,813.8
2003-01-01,3100B,540,10.4,0.1,7.7,13.2,27.0,0.8,4.7,,,
2003-01-01,3110C,1030,6.3,0.9,4.6,8.0,10.0,0.8,5.6,,902.5,899.4
2003-01-01,3129,609,9.4,0.5,7.5,11.3,26.0,2.5,8.6,0.0,956.5,953.3
2003-01-01,3175,607,9.7,0.9,7.4,12.0,21.0,3.3,6.1,0.0,952.2,949.3
2003-01-01,3191E,1004,6.4,0.4,4.3,8.5,24.0,1.9,6.1,0.0,908.5,906.5
2003-01-01,3194U,664,9.6,1.5,7.9,11.4,26.0,1.7,6.7,,,
2003-01-01,3195,667,9.4,0.9,7.2,11.5,,,,0.0,946.2,944.1
2003-01-01,3196,690,8.8,1.0,6.2,11.4,25.0,4.4,10.3,0.0,944.6,942.2
2003-01-01,3200,620,9.6,1.3,7.6,11.6,25.0,4.4,10.3,0.0,952.3,949.7
2003-01-01,3266A,1532,4.6,1.1,0.7,8.6,29.0,3.3,11.4,,853.4,850.4
2003-01-01,3338,763,8.5,0.2,6.2,10.8,,,,,939.7,936.3
2003-01-02,2462,1894,5.6,21.5,2.8,8.4,23.0,6.9,18.6,4.4,813.8,808.9
2003-01-02,3100B,540,12.2,0.6,9.5,15.0,24.0,0.8,8.1,,,
2003-01-02,3110C,1030,9.4,10.1,7.4,11.4,14.0,1.4,6.7,,899.4,894.1
2003-01-02,3129,609,10.6,1.9,9.0,12.3,22.0,4.4,15.8,0.8,953.5,948.2
2003-01-02,3175,607,11.4,1.9,10.2,12.6,21.0,5.0,11.4,0.0,949.3,944.7
2003-01-02,3191E,1004,8.6,7.9,7.6,9.6,22.0,5.6,12.2,0.0,906.5,901.3
2003-01-02,3194U,664,11.2,3.1,10.1,12.4,26.0,1.4,12.8,,,
2003-01-02,3195,667,10.8,2.8,9.7,11.8,,,,0.0,944.3,937.9
2003-01-02,3196,690,10.1,2.7,8.6,11.6,24.0,6.1,14.4,0.1,942.3,937.1
2003-01-02,3200,620,10.7,2.2,8.6,12.8,23.0,3.9,11.7,0.1,949.7,944.5
2003-01-02,3266A,1532,6.4,8.3,4.4,8.4,29.0,3.1,17.5,,850.4,846.2
2003-01-02,3338,763,10.3,0.3,8.7,11.9,,,,,936.3,931.3
2003-01-03,2462,1894,2.3,2.4,-0.1,4.7,27.0,7.5,26.4,2.6,810.5,808.7
2003-01-03,3100B,540,10.2,0.0,6.0,14.4,28.0,2.8,11.7,,,
2003-01-03,3110C,1030,8.3,1.8,5.5,11.1,25.0,2.8,11.9,,897.5,893.3
2003-01-03,3129,609,9.3,0.0,6.1,12.5,26.0,6.9,13.9,3.5,951.3,947.4
2003-01-03,3175,607,9.1,0.3,5.6,12.6,23.0,4.7,11.4,1.3,947.3,944.3
2003-01-03,3191E,1004,7.2,0.0,4.4,10.0,24.0,4.4,13.3,2.1,904.1,900.6
2003-01-03,3194U,664,9.8,0.0,7.1,12.4,99.0,2.8,13.3,,,
2003-01-03,3195,667,9.7,0.2,7.5,11.9,,,,0.0,941.3,937.0
2003-01-03,3196,690,9.7,0.0,7.8,11.6,24.0,6.7,15.0,3.5,939.7,936.7
2003-01-03,3200,620,10.1,0.0,7.4,12.8,24.0,7.2,18.3,1.1,947.1,943.5
2003-01-03,3266A,1532,2.8,1.1,-0.6,6.3,25.0,6.7,22.5,,849.7,845.3
2003-01-03,3338,763,8.2,0.2,4.4,11.9,,,,,934.5,930.8
2003-01-04,2462,1894,-0.8,4.8,-1.8,0.3,28.0,4.4,13.6,0.1,809.9,807.5
2003-01-04,3100B,540,9.4,0.1,4.4,14.5,29.0,2.8,7.8,,,
2003-01-04,3110C,1030,5.6,2.4,3.4,7.9,30.0,1.7,7.8,,896.7,894.7
2003-01-04,3129,609,8.6,0.2,4.7,12.6,24.0,4.7,10.8,4.2,950.5,947.7
2003-01-04,3175,607,8.8,0.4,4.2,13.5,25.0,3.3,9.2,4.6,946.5,944.2
2003-01-04,3191E,1004,7.0,0.0,3.6,10.5,27.0,4.7,12.2,4.7,902.7,900.1
2003-01-04,3194U,664,9.0,0.4,4.8,13.3,26.0,2.2,11.1,,,
2003-01-04,3195,667,9.2,0.2,6.6,11.9,,,,3.8,940.5,937.4
2003-01-04,3196,690,8.5,0.1,5.4,11.6,25.0,5.0,10.8,4.0,939.4,937.0
2003-01-04,3200,620,9.2,0.3,6.0,12.5,26.0,5.3,11.4,4.4,946.7,944.3
2003-01-04,3266A,1532,0.2,0.5,-1.5,1.8,28.0,8.6,18.9,,848.5,845.7
2003-01-04,3338,763,8.3,0.2,4.4,12.2,,,,,933.9,931.4
2003-01-05,2462,1894,-1.8,15.3,-3.5,0.0,20.0,4.7,13.9,0.0,807.5,795.1
2003-01-05,3100B,540,6.8,7.2,3.0,10.5,30.0,1.4,13.1,,,
2003-01-05,3110C,1030,2.0,10.9,-0.2,4.1,29.0,0.8,8.9,,895.1,881.2
2003-01-05,3129,609,4.4,10.5,0.4,8.4,29.0,1.7,13.3,0.0,947.8,933.8
2003-01-05,3175,607,5.2,8.9,1.8,8.7,27.0,1.7,12.8,4.7,944.2,930.1
2003-01-05,3191E,1004,3.2,12.1,1.5,5.0,27.0,1.7,13.3,0.0,901.0,887.5
2003-01-05,3194U,664,5.7,12.5,2.9,8.5,25.0,0.8,6.7,,,
2003-01-05,3195,667,6.3,11.4,4.3,8.3,,,,4.4,937.4,924.3
2003-01-05,3196,690,5.0,12.0,2.0,8.0,28.0,1.9,13.3,0.0,937.0,923.1
2003-01-05,3200,620,5.6,16.1,2.5,8.8,28.0,0.8,14.4,0.0,944.5,929.7
2003-01-05,3266A,1532,-0.8,11.2,-2.6,1.1,28.0,3.3,22.5,,846.3,833.0
2003-01-05,3338,763,3.5,0.2,0.1,6.9,,,,,931.6,917.9
2003-01-06,2462,1894,-3.8,0.7,-4.6,-3.1,30.0,2.5,8.1,0.0,805.4,795.0
2003-01-06,3100B,540,6.1,0.0,1.5,10.7,31.0,4.2,13.3,,,
2003-01-06,3110C,1030,2.8,0.3,1.0,4.5,28.0,4.7,18.3,,894.2,881.7
2003-01-06,3129,609,7.0,0.0,4.5,9.5,29.0,7.8,15.0,4.7,947.3,935.1
2003-01-06,3175,607,6.7,0.0,2.4,11.0,25.0,6.4,13.9,0.0,943.8,930.7
