date,station,altitude,average_temperature,rainfall,minimum_temperature,maximum_temperature,average_wind_speed,maximum_ultraviolet_index,maximum_pressure,minimum_pressure,wind_direction,maximum_wind_speed
2006-01-01,2462,1894,-2.8,0.0,-3.9,-1.8,6.4,0.0,812.3,807.9,,
2006-01-01,3100B,540,7.0,0.0,2.3,11.6,3.9,,,,32.0,12.5
2006-01-01,3110C,1030,4.4,0.0,3.2,5.5,3.9,,902.0,894.3,28.0,17.5
2006-01-01,3111D,1450,0.3,1.1,-1.5,2.1,3.1,,861.4,855.9,29.0,15.0
2006-01-01,3129,609,7.9,0.0,4.1,11.7,5.0,7.7,955.7,949.4,27.0,12.8
2006-01-01,3175,607,6.7,0.0,1.4,12.0,5.6,7.8,951.6,945.5,30.0,15.0
2006-01-01,3191E,1004,5.3,0.1,3.1,7.5,2.5,7.5,907.9,902.1,35.0,17.5
2006-01-01,3194U,664,7.2,0.1,3.1,11.4,2.5,,,,28.0,13.3
2006-01-01,3195,667,8.0,0.0,5.9,10.2,2.2,7.6,945.1,940.3,33.0,13.3
2006-01-01,3196,690,7.9,0.0,5.4,10.4,4.7,7.8,943.6,937.9,31.0,15.6
2006-01-01,3200,620,8.3,0.0,5.2,11.4,4.7,8.3,951.3,946.3,27.0,12.8
2006-01-01,3266A,1532,-1.1,0.0,-2.2,0.0,10.6,,851.9,845.1,30.0,25.8
2006-01-01,3338,763,6.6,0.0,4.5,8.8,1.4,,939.9,933.4,34.0,10.3
2006-01-02,2462,1894,-3.0,1.5,-4.3,-1.7,4.4,0.0,816.1,812.2,,
2006-01-02,3100B,540,5.4,0.0,-1.6,12.5,2.8,,,,31.0,10.8
2006-01-02,3110C,1030,4.2,0.0,3.0,5.3,3.1,,905.1,901.0,1.0,12.8
2006-01-02,3111D,1450,-0.8,0.0,-1.9,0.2,1.9,,864.1,860.8,32.0,15.3
2006-01-02,3129,609,5.9,0.0,-1.2,13.0,2.5,6.3,958.9,955.2,1.0,13.9
2006-01-02,3175,607,4.5,0.0,-1.6,10.6,3.1,8.2,954.3,951.6,33.0,15.6
2006-01-02,3191E,1004,5.4,0.0,2.6,8.2,1.7,5.7,910.3,907.9,1.0,16.4
2006-01-02,3194U,664,7.2,0.0,2.1,12.4,2.2,,,,99.0,9.2
2006-01-02,3195,667,7.6,0.0,4.0,11.2,1.9,8.3,949.1,945.1,4.0,11.1
2006-01-02,3196,690,6.6,0.0,2.6,10.6,3.6,7.7,946.6,943.1,32.0,12.5
2006-01-02,3200,620,8.0,0.0,3.9,12.0,4.2,8.6,954.9,951.1,32.0,12.5
2006-01-02,3266A,1532,-1.0,0.1,-2.3,0.4,5.6,,855.9,851.4,29.0,12.8
2006-01-02,3338,763,7.4,0.0,4.3,10.6,2.2,,942.5,939.4,31.0,13.6
2006-01-03,2462,1894,-3.4,0.7,-4.5,-2.4,3.1,0.0,816.6,814.9,,
2006-01-03,3100B,540,5.6,0.0,-1.1,12.3,1.9,,,,3.0,8.9
2006-01-03,3110C,1030,4.2,0.0,2.7,5.8,5.3,,905.8,902.4,27.0,18.6
2006-01-03,3111D,1450,-0.9,0.0,-1.7,-0.1,3.3,,864.7,862.7,33.0,18.3
2006-01-03,3129,609,7.2,0.0,3.3,11.1,7.5,7.8,958.9,956.0,1.0,16.1
2006-01-03,3175,607,6.1,0.0,1.2,11.0,8.3,8.1,954.3,952.0,34.0,18.1
2006-01-03,3191E,1004,6.2,0.0,2.4,10.0,4.7,8.5,910.9,908.7,4.0,16.4
2006-01-03,3194U,664,6.6,0.0,0.9,12.4,3.1,,,,4.0,13.1
2006-01-03,3195,667,7.0,0.0,3.0,10.9,2.5,7.9,948.3,945.8,2.0,13.3
2006-01-03,3196,690,6.5,0.0,1.2,11.8,1.7,8.1,946.7,943.8,2.0,8.9
2006-01-03,3200,620,6.5,0.0,0.8,12.2,1.9,7.5,954.6,952.2,3.0,11.9
2006-01-03,3266A,1532,-1.4,0.0,-2.5,-0.2,6.4,,856.2,853.6,32.0,19.7
2006-01-03,3338,763,7.6,0.0,4.0,11.2,2.8,,942.4,939.3,31.0,12.5
2006-01-04,2462,1894,-3.2,0.5,-5.8,-0.5,0.8,2.5,814.9,808.6,,
2006-01-04,3100B,540,4.0,0.0,-4.2,12.1,0.8,,,,7.0,6.7
2006-01-04,3110C,1030,5.0,0.0,2.2,7.7,3.1,,903.1,894.8,99.0,12.5
2006-01-04,3111D,1450,-0.8,0.5,-2.6,1.0,2.8,,862.9,856.1,31.0,10.3
2006-01-04,3129,609,5.2,0.0,-2.4,12.7,1.7,8.1,956.3,949.1,21.0,7.8
2006-01-04,3175,607,4.8,0.0,-2.5,12.0,2.2,7.6,952.0,945.4,6.0,11.4
2006-01-04,3191E,1004,5.8,0.0,1.6,9.9,4.7,8.1,908.7,902.2,7.0,15.6
2006-01-04,3194U,664,5.4,0.0,-1.8,12.5,0.6,,,,16.0,3.3
2006-01-04,3195,667,5.3,0.0,0.1,10.5,0.6,7.8,945.8,939.1,11.0,5.8
2006-01-04,3196,690,5.1,0.0,-1.0,11.2,1.7,8.0,943.9,936.8,30.0,6.1
